;Keruuv;Alue;Kohde;koeala;syvyys_cm;Lieriö;Db_x;Ds;Org;tp;WC03_x;WC1_x;WC5_x;WC10_x;WC33_x;WC100_x;WC1500_x;v03_x;v1_x;v5_x;v10_x;v33_x;v100_x;KivetM;KivetV;Huom1;Huom2;Huom3;1piste;2piste;kuoppa;Pkoord;Ikoord;B_hor;erä;pl;toisto
27;2013;;528-52;6.0;humus;489;0.159567712641;2.06626;50.76;92.2774620502;70.8104757134;28.6521701104;26.2568118375;23.3271044114;18.204722874;15.4776996095;7.27947905067;100.0;95.2153110048;90.4306220096;90.4306220096;95.2153110048;90.4306220096;0.0;0.0;;kariketta, kiv.maata seassa;;;;2.0;;;;;;
28;2013;;528-52;6.0;14-20;616;1.02319793725;2.593765;4.89;60.5516329642;48.6116641398;42.381381313;36.1443775771;33.0796429827;29.3764220145;26.4057801489;9.94548395003;100.0;98.2486865149;100.0;98.2486865149;100.0;98.2486865149;0.0;0.0;mineraali;ruskeaa kiv.maata, ohuita juuria;;;;2.0;;;;;;
29;2013;;528-52;6.0;humus;657;0.369500689703;2.07684;49.84;82.2085143919;72.4226468669;62.5818436124;52.3846881509;47.1125029347;40.7803983336;38.3955797176;11.2734660428;100.0;100.0;100.0;97.619047619;100.0;97.619047619;0.0;0.0;;tumma multamainen;;;;2.0;;;;;;
30;2013;;528-52;6.0;14-20;664;1.16150115728;2.584335;5.71;55.0560915174;41.9665943426;31.42946413;28.1561149209;25.4006586902;20.513873664;15.9922695841;7.92143789267;100.0;98.275862069;98.275862069;96.5517241379;96.5517241379;96.5517241379;0.0;0.0;mineraali;ruskeaa kiv.maata, kiviä;;;;3.0;;;;;;
31;2013;;528-52;6.0;1-7;677;0.932613159268;2.55271;8.46;63.4657615135;49.5468965156;33.1898230315;29.5853648281;26.4586905582;21.7721922704;17.5072680415;9.09297830286;100.0;98.1818181818;98.1818181818;94.7906482911;93.0352659154;96.5460306669;0.0;0.0;mineraali;tummanruskeaa kiv.maata, muutama juuri;;;;3.0;;;;;;
32;2013;;528-58;5.0;14-20;139;0.965609427407;2.60193;4.18;62.8887238547;55.1342652224;51.2370869522;47.8769987965;44.7789058187;36.5915565115;27.0876814358;8.55529952683;100.0;98.3050847458;98.3050847458;98.3050847458;98.3050847458;98.3050847458;0.0;0.0;mineraali;ruskeaa kiv.maata , muutama juuri;;;;1.0;;;;;;
33;2013;;528-58;8.0;1-7;486;0.701567073464;2.49383;13.58;71.8678870066;51.1597080315;41.1188557702;35.6686784976;30.5916184955;23.5023903561;21.8300254473;9.20456000385;100.0;98.275862069;98.275862069;98.275862069;98.275862069;98.275862069;0.0;0.0;seos;tumma multamainen, muutama juuri;;;;1.0;;;;;;
34;2013;;528-58;8.0;humus;594;0.124631974204;1.682045;84.17;92.5904494705;77.40270803;41.1758800851;34.281096702;31.2135024003;27.6930727492;25.691832657;7.74712351652;100.0;92.3076923077;92.3076923077;96.1538461538;92.3076923077;100.0;0.0;0.0;seos;tumma, multamainen, juuria;;;;1.0;;;;;;
35;2013;;528-58;8.0;14-20;611;0.959377807719;2.540175;9.55;62.2318223068;;46.010095402;42.0829113363;35.3990231462;28.6959467604;23.3680244042;8.5384624887;100.0;100.0;100.0;100.0;100.0;98.3333333333;0.0;0.0;mineraali;tummanruskea multamainen;;;;1.0;;;;;;
36;2013;;530-48;18.0;humus;99;0.109214760315;1.61132;90.32;93.2220316067;69.49;40.0482568053;32.8796380388;29.2313231309;26.5430910935;25.7003516849;8.47943399082;100.0;97.2299168975;97.2299168975;94.459833795;97.2299168975;97.2299168975;0.0;0.0;humus;humusta ja multaa, juuria;;;;1.0;;;;;;
37;2013;;530-48;18.0;1-7;101;0.663228355265;2.582265;5.89;74.316022745;57.1614415332;55.5612850233;40.7814161807;33.2918869558;28.3719036619;25.6297267383;5.31245912567;100.0;98.275862069;98.275862069;98.275862069;98.275862069;98.275862069;0.0;0.0;;tumman punertavanruskeaa kiv.maata, muutama juuri;;;;1.0;;;;;;
38;2013;;530-48;18.0;14-20;127;0.866948874656;2.57111;6.86;53.4429056953;49.8987814324;38.3404242976;35.424802678;31.3957980773;25.4043558481;21.7918686216;8.79086158901;100.0;91.6801335344;89.600166918;91.6801335344;91.6801335344;91.6801335344;75.16;28.3622641509;mineraali;punertavanruskeaa kiv.maata, kiviä, 4 isoimman kiven paino 75.16 g;;;;1.0;;;;;;
39;2013;;530-48;18.0;1-7;213;1.06582280878;2.48969;13.94;57.1905414415;49.3740753799;43.504141178;37.8407540366;32.6104494412;24.0487406451;18.1521552096;;100.0;100.0;100.0;100.0;100.0;94.8814439312;0.0;0.0;;harmaata ja punertavanruskeaa kiv.maata, juuria;;;;1.0;;;;;;
40;2013;;530-48;18.0;humus;98;0.109807795597;1.597635;91.51;93.1268534054;71.815234372;30.8629663775;27.0853285952;24.1545948584;21.903613053;19.8086398876;8.28609625572;100.0;100.0;100.0;100.0;97.1264367816;94.2528735632;0.0;0.0;humus;juuria, kariketta, humus;;;;2.0;;;;;;
41;2013;;530-48;18.0;14-20;106;1.09888435886;2.563405;7.53;57.1318477238;47.7549574274;36.0555538779;32.545076649;29.0411610599;20.261687168;15.7800872665;13.8679206088;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;seos;punertavanruskeaa kiv.maata, juuria, muutama kivi;;;;2.0;;;;;;
42;2013;;530-48;18.0;humus;137;0.0931479654931;1.59821;91.46;94.1717317816;81.6149934798;28.2093383839;22.5098597611;20.1068363417;17.3649250042;15.8091213801;7.85889384865;100.0;92.0;92.0;92.0;96.0;100.0;0.0;0.0;humus;paljon juuria, humus;;;;3.0;;;;;;
43;2013;;530-48;18.0;1-7;155;0.79279085596;2.487275;14.15;61.5310059324;;52.8348250271;45.517835017;40.7567798734;31.8503849883;29.7956138211;14.3178028586;100.0;100.0;100.0;100.0;98.1408768764;98.1408768764;35.86;13.5320754717;mineraali;tumman punertavanruskeaa kiv.maata, muutama juuri, 1 kivi 35.86 g;;;;3.0;;;;;;
44;2013;;544-66;3.0;1-7;102;1.25347458916;2.562025;7.65;51.0748494196;46.095323786;44.2709791975;42.8896897234;40.5245572747;30.9402326689;28.5946467694;12.02082131;100.0;100.0;100.0;98.3022071307;100.0;98.3022071307;0.0;0.0;mineraali;kellertävän ruskeaa kiv.maata, muutama juuri;;;;1.0;;;;;;
45;2013;;544-66;3.0;1-7;118;0.821999059254;1.67434;84.84;50.9060848302;49.8477685545;42.9147323339;32.7285021942;29.3762649007;21.7956373847;17.7958087959;;100.0;101.964636542;101.964636542;100.0;100.0;100.0;0.0;0.0;???;ruskeaa kiv.maata, aika paljon juuria, 1 paksuhko juuren pätkä, n.5 cm;;;;1.0;;;;;;
46;2013;;544-66;3.0;14-20;209;1.3639537455;2.593535;4.91;47.4094721877;41.0324949684;39.3150553464;35.5257837995;31.8455560382;23.2310969819;21.5545487795;8.41559460972;100.0;98.2486865149;98.2486865149;98.2486865149;98.2486865149;98.2486865149;0.0;0.0;mineraali;ruskeaa kiv.maata;;;;1.0;;;;;;
47;2013;;544-66;3.0;humus;210;0.148209600914;1.567965;94.09;90.5476460945;42.8480863804;27.9725929117;20.2773274513;17.9445107566;13.8999519418;11.945839256;;100.0;96.09375;96.09375;100.0;100.0;96.09375;0.0;0.0;humus;humusta ja multaista, juuria;;;;1.0;;;;;;
48;2013;;544-66;3.0;humus;121;0.212924508716;1.912505;64.13;88.8667214613;40.2013579344;34.7964966902;27.6080312354;24.4596995607;19.8385431969;17.7306473116;17.3916738719;100.0;100.0;100.0;103.472222222;100.0;100.0;0.0;0.0;humus;humusta ja multaista, juuria;;;;2.0;;;;;;
49;2013;;544-66;3.0;14-20;597;1.25846570602;2.61458;3.08;50.3429251999;45.0811253691;43.3090068638;42.720480423;39.6601429306;25.7774581092;18.5712788001;7.51304026492;100.0;100.0;100.0;100.0;100.0;100.0;11.95;4.50943396226;mineraali;ruskeaa kiv.maata, 1 kivi 11.95 g;;;;2.0;;;;;;
50;2013;;544-66;3.0;1-7;;;2.582725;5.85;;;;;;;;;;;;;;;0.0;0.0;;tällä ei ole vastaavaa lieriönumeroa;2013-07-10 00:00:00;;;2.0;;;;;;
51;2013;;544-66;3.0;1-7;120;0.87759543613;2.501535;12.91;64.9177230728;;59.17;54.6798855866;48.3783294853;37.6522765469;32.9596283864;19.9301923545;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;mineraali;punertavanruskeaa kiv.maata, juuria;;;;3.0;;;;;;
52;2013;;544-66;3.0;14-20;201;0.75252373297;2.435985;18.61;69.1080309209;61.9069942111;60.1370676186;56.769566836;52.8054615839;39.9585786768;36.3192914137;21.4243506777;100.0;98.2905982906;98.2905982906;98.2905982906;98.2905982906;98.2905982906;0.0;0.0;seos;tumman punertavanruskeaa kiv.maata;;;;3.0;;;;;;
53;2013;;544-66;3.0;humus;207;0.17249640723;2.33973;26.98;92.6275079932;45.6748606661;36.3474207911;32.0204683764;28.0200784081;22.7236437307;20.5499624469;12.1523718894;100.0;100.0;100.0;102.631578947;102.631578947;100.0;0.0;0.0;seos;"tummanruskea multainen ""humus"", juuren pätkiä";;;;3.0;;;;;;
54;2013;;544-70;10.0;humus;665;0.129287491138;1.601545;91.17;91.9273269787;45.8613944436;34.644911547;30.0005865976;26.4516213061;24.0768815678;22.7449242238;10.110281807;100.0;100.0;102.267573696;104.535147392;102.267573696;102.267573696;0.0;0.0;humus;vähän multamaista seassa, juuria;;;;1.0;;;;;;
55;2013;;544-70;10.0;1-7;679;0.896288852708;2.5695;7.0;65.1181610155;53.7116578652;48.7663794553;40.4385306131;34.9789432486;29.6446362705;24.8510130652;10.8540580063;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;mineraali;punertavaruskeaa, seassa harmaata kiv.maata, ohuita juuria;;;;1.0;;;;;;
56;2013;;544-70;10.0;humus;488;0.0890267216913;1.56095;94.7;94.2966320708;84.66148045;37.146434529;33.7026407992;29.6422218407;26.1053526047;24.2903802336;9.07004240591;100.0;103.021148036;103.021148036;103.021148036;106.042296073;106.042296073;0.0;0.0;humus;sammalta, juuria, humus;;;;2.0;;;;;;
