;thetaS;thetaR;alpha;n;m;resid;NrIter
741;0.513771485984;0.0;0.75269472735;0.402307241526;0.699896646802;0.00554077263634;55.0
742;0.646656998708;0.0;2.71574819874;0.396779102203;0.434429096016;0.00624824102178;40.0
743;0.584757242154;0.0610404120613;0.46801534129;0.604447488746;0.54446971266;0.000904739143211;48.0
744;0.631446535139;0.0757673664811;0.548148867514;0.407868363494;0.770442616752;0.00280834480326;37.0
745;0.575198356044;0.0703728235335;2.2500324889;1.11732714575;0.249401216563;0.00158076120834;64.0
746;0.593225018101;0.0;0.215609733721;0.394256093233;0.669096845906;0.000155171904422;30.0
747;0.401610546636;0.0;2.26095400884;0.43568358231;0.503738601945;0.00126679524849;100.0
748;0.507448224528;0.0;0.24671243623;0.400407892572;0.910532733063;0.0012069568141;71.0
749;0.424568632957;0.0;0.152777299578;0.756851050386;1.0;0.00122039486541;46.0
750;0.93092153833;0.0478075674572;10.0;1.29831353302;0.205453100051;0.0156576397321;41.0
751;0.885957160144;0.0588021082294;6.97427973434;3.35797431939;0.0744973256452;0.0170397723467;39.0
752;0.625247147323;0.0680795318454;10.0;0.584367635489;0.394253387505;0.00307520025851;33.0
753;0.581822387186;0.0;0.690200181875;0.414810963781;0.506448591124;0.00195932249481;56.0
754;0.536428295811;0.0;1.76359407018;1.28158597571;0.133604642605;0.00388745440449;31.0
755;0.628051373645;0.064991733437;0.186181374068;0.397158181966;1.0;0.00239329046755;53.0
756;0.503469365387;0.0588993516746;0.332245119329;0.684968883631;0.655644215736;0.00277408257995;41.0
757;0.57326143902;0.0638859998977;0.254764503381;0.548169815871;0.71936101179;0.00207576579715;37.0
758;0.445836795191;0.0375431030156;0.14122096064;0.424272680513;1.0;0.000227476940603;63.0
759;0.481102516564;0.0300530637607;0.349420410509;0.521516972712;1.0;0.00158349049365;41.0
760;0.481038293142;0.0340685302066;0.208508606152;0.546542639927;0.822917863656;8.69132461292e-05;68.0
761;0.93606820098;0.0619248899459;9.11474115991;2.94839604012;0.0969918466703;0.0200722894733;49.0
762;0.901052885849;0.117480965486;10.0;1.01521466685;0.21751000898;0.0132196584259;40.0
763;0.927878623773;0.0996606795901;10.0;1.14097505869;0.228629771198;0.0215488246149;58.0
764;0.709212361436;0.0;0.080118660813;0.290629809044;1.0;0.012175255675;56.0
765;0.594057488054;0.0;0.0373906010794;0.318775405946;1.0;0.00233519406766;43.0
